Year,Total.Catch,Total.ER,Total.Run,StkNmXLS
1952,333799,0.7660350339300837,435749,A
1953,464030,0.8328053856052434,557189,A
1954,358114,0.8375525057768048,427572,A
1955,301328,0.8493376176785613,354780,A
1956,215572,0.7765869685037952,277589,A
1957,464938,0.8083994338710631,575134,A
1958,524365,0.809506313304794,647759,A
1959,512657,0.8005312337990869,640396,A
1960,179683,0.7733856146135073,232333,A
1961,325472,0.829021034238585,392598,A
1962,204759,0.6900166809887277,296745,A
1963,220109,0.569824606821565,386275,A
1964,141682,0.7344994193762442,192896,A
1965,239583,0.8532461982264326,280790,A
1966,295904,0.8282780782192962,357252,A
1967,512587,0.8702665534804754,589e3,A
1968,283369,0.8514591170779198,332804,A
1969,304315,0.7866872096600325,386831,A
1970,241973,0.8819061503416856,274375,A
1971,675246,0.8804291278060788,766951,A
1972,416699,0.8932531039923172,466496,A
1973,242618,0.8330632202062932,291236,A
1974,292810,0.794873674237797,368373,A
1975,379681,0.7307277041838516,519593,A
1976,465621,0.8454016112017924,550769,A
1977,186073,0.7581108444730549,245443,A
1978,306225,0.7505073230986412,408024,A
1979,483110,0.6998804824164282,690275,A
1980,132602,0.632615965917494,209609,A
1981,328047,0.7940258118234804,413144,A
1982,398605,0.7994612829728516,498592,A
1983,189607,0.6457278303187993,293633,A
1984,328136,0.7244803786932081,452926,A
1985,172380,0.7895604697605394,218324,A
1986,556214,0.7104380157794504,782917,A
1987,441478,0.6881803231413139,641515,A
1988,272091,0.5551551976364827,490117,A
1989,358267,0.850334065151605,421325,A
1990,920174,0.676030365655923,1361143,A
1991,556209,0.6727892481260305,826721,A
1992,498454,0.76640779117342706,650377,A
1993,136381,0.6119224850026697,222873,A
1994,626513,0.6150074407975593,1018708,A
1995,138844,0.46040846644360955,301567,A
1996,175180,0.3253521336027576,538432,A
1997,271264,0.6961859958988099,389643,A
1998,258568,0.34361606982674875,752491,A
1999,84312,0.21777155579892446,387158,A
2e3,480142,0.45494315366182514,1055389,A
2001,90994,0.23166540218238107,392782,A
2002,344424,0.4294799215917083,801956,A
2003,277809.92474900186,0.5058026925612225,549245.642292376,A
2004,677168.3682643258,0.5458237859948992,1240635.504790284,A
2005,143221.55970794504,0.23183661617697834,617769.3673660818,A
2006,809418.0502864509,0.445124870669538,1818406.7070189957,A
2007,52931.69421987392,0.2716415756051214,194858.5893082118,A
2008,132352.3720837696,0.29215923085061535,453014.51437433105,A
2009,17010.345905175775,0.09583067834318022,177504.1792385091,A
2010,1242745.2260633917,0.41474069701250865,2996439.0642520194,A
2011,200824.27648776327,0.3569914501846305,562546.4598210966,A
2012,111021.5317323624,0.19977413433775446,555735.266231515,A
2013,71759.54668410974,0.16229601137817212,442152.25053744594,A
2014,917421.5017564885,0.4595964610284832,1996145.7050898217,A
2015,70649.07478799249,0.17869055566983158,395371.0621311824,A
2016,27600,0.115,24e4,A
2017,3400,0.020606060606060607,165e3,A
2018,796500,0.4473965062068191,1780300,A
1952,61576,0.7675795614614627,80221,B
1953,49469,0.7884008542377203,62746,B
1954,54850,0.8391340931691272,65365,B
1955,97264,0.8601648448830875,113076,B
1956,29998,0.8109320934256056,36992,B
1957,64892,0.8438162360376058,76903,B
1958,53105,0.7815535409430742,67948,B
1959,66669,0.695076942324534,95916,B
1960,24255,0.7609411764705882,31875,B
1961,44457,0.8564905791238007,51906,B
1962,12617,0.667460191503994,18903,B
1963,31480,0.555977464191731,56621,B
1964,16178,0.7133786048152394,22678,B
1965,24627,0.9025507586307997,27286,B
1966,17665,0.8773280357586293,20135,B
