StkID,Year,Catch,Spn
1,1952,155284,30212
1,1953,894142,154036
1,1954,206766,35050
1,1955,139325,2159
1,1956,68209,25020
1,1957,313421,234850
1,1958,118860,38807
1,1959,23855,2670
1,1960,67560,14447
1,1961,1026201,198921
1,1962,81816,26716
1,1963,10315,4607
1,1964,44072,2390
1,1965,233280,23045
1,1966,59920,10830
1,1967,77477,21044
1,1968,26243,1522
1,1969,321518,109655
1,1970,50177,34389
1,1971,230202,95940
1,1972,18883,4657
1,1973,1066289,299892
1,1974,147403,39518
1,1975,345453,65752
1,1976,27835,11761
1,1977,1225011,117445
1,1978,96271,50004
1,1979,129956,92746
1,1980,14789,16939
1,1981,626044,129457
1,1982,67246,4557
1,1983,67121,23867
1,1984,10844,45201
1,1985,122311,234519
1,1986,17016,28584
1,1987,29573,148194
1,1988,41768,179807
1,1989,827000,384799
1,1990,57830,97035
1,1991,371334,141119
1,1992,171309,65617
1,1993,463676,687967
1,1994,46414,29831
1,1995,15455,122710
1,1996,7981,87569
1,1997,771707,265697
1,1998,21020,30952
1,1999,26804,24532
1,2000,225958,89747
1,2001,43280,170906
1,2002,5717,24637
1,2003,1160.908295,13166
1,2004,40755.97355,9281
1,2005,21495.43282,98537
1,2006,7625.651068,35816
1,2007,971.0157258,5347
1,2008,4138.643721,29867
1,2009,9569.342469,45297
1,2010,6132.356837,60262
1,2011,2229.801333,757
4,1952,61576,18645
4,1953,49469,13277
4,1954,54850,10515
4,1955,97264,9350
4,1956,29998,6994
4,1957,64892,12011
4,1958,53105,14843
4,1959,66669,29247
4,1960,24255,7620
4,1961,44457,7449
4,1962,12617,6286
4,1963,31480,25141
4,1964,16178,1500
4,1965,24627,2659
4,1966,17665,2470
4,1967,175777,31695
4,1968,31120,3611
4,1969,14989,3872
4,1970,20920,1305
4,1971,169413,25497
4,1972,45768,4138
4,1973,18694,4558
4,1974,15184,1850
4,1975,94637,29700
4,1976,14956,2250
4,1977,8150,2500
4,1978,12685,3141
4,1979,88471,35000
4,1980,5134,2894
4,1981,4705,1170
4,1982,47777,1647
4,1983,9987,6451
4,1984,42972,10463
4,1985,14093,6419
4,1986,1759,3124
4,1987,27737,11071
4,1988,33874,12780
4,1989,19794,2534
4,1990,15430,7860
4,1991,13888,4919
4,1992,11364,2560
4,1993,5141,1184
4,1994,9317,4380
4,1995,23933,34417
4,1996,3531,8176
4,1997,15727,4811
4,1998,1960,4751
4,1999,6226,8238
4,2000,9514,13440
4,2001,1574,5842
4,2002,6191,8770
4,2003,12735.4541,6772
4,2004,13974.70837,916
4,2005,1392.132449,1730
4,2006,3495.499215,1554
4,2007,1590.999871,2173
4,2008,1168.948305,1005
4,2009,600.4400428,2170
4,2010,4404.498208,8983
4,2011,4801.814561,4101
14,1952,NA,NA
14,1953,NA,NA
14,1954,NA,NA
14,1955,NA,NA
14,1956,NA,NA
14,1957,NA,NA
14,1958,15,5
14,1959,125,27
14,1960,NA,NA
14,1961,NA,NA
14,1962,NA,NA
14,1963,616,436
14,1964,359,146
14,1965,NA,NA
14,1966,NA,NA
14,1967,7731,916
14,1968,2701,954
14,1969,203,52
14,1970,36,9
14,1971,13908,1293
14,1972,12915,1931
14,1973,853,205
14,1974,600,140
14,1975,11402,4005
14,1976,25100,4090
14,1977,1393,371
14,1978,429,107
14,1979,42318,16574
14,1980,14856,8437
14,1981,7782,2089
14,1982,4156,1132
14,1983,4107,4977
14,1984,33488,11107
14,1985,3198,1598
14,1986,4285,6024
14,1987,21198,16633
14,1988,18995,26927
14,1989,25958,3988
14,1990,31598,11862
14,1991,47947,20554
14,1992,40402,9357
14,1993,12728,7703
14,1994,4526,5959
14,1995,7093,11352
14,1996,13359,32279
14,1997,29422,9000
14,1998,3616,8750
14,1999,13938,5697
14,2000,4220,10152
14,2001,1470,6618
14,2002,4630,7198
14,2003,17089.05366,9087
14,2004,40427.44646,2718
14,2005,3237.807041,4220
14,2006,25006.09059,11117
14,2007,6633.999121,11212
14,2008,3246.992522,2270
14,2009,149.5303755,1170
14,2010,8843.708177,10669
14,2011,6057.93005,9884
5,1952,52055,15617
5,1953,29528,7904
5,1954,32439,9988
5,1955,35547,5079
5,1956,50139,9037
5,1957,28435,6860
5,1958,30589,10214
5,1959,53580,10210
5,1960,19840,5513
5,1961,21444,7293
5,1962,16989,7613
5,1963,12263,8683
5,1964,12736,5177
5,1965,17684,6624
5,1966,33478,6244
5,1967,10792,1279
5,1968,30317,10675
5,1969,21690,5537
5,1970,17707,4462
5,1971,10161,801
5,1972,91235,11048
5,1973,12976,2714
5,1974,9627,2383
5,1975,7463,2609
5,1976,50493,9238
5,1977,1761,617
5,1978,16770,2493
5,1979,4332,1776
5,1980,14198,5418
5,1981,3244,815
5,1982,12085,2992
5,1983,6034,2780
5,1984,30293,19086
5,1985,7512,3638
5,1986,1659,2095
5,1987,2681,1436
5,1988,15548,19851
5,1989,15220,1647
5,1990,3975,630
5,1991,1045,464
5,1992,29899,8236
5,1993,10702,5047
5,1994,1293,1712
5,1995,727,1044
5,1996,19282,46592
5,1997,19919,6093
5,1998,2977,7198
5,1999,9940,6994
5,2000,27507,66292
5,2001,15807,32860
5,2002,11816,18369
5,2003,18881.26981,10040
5,2004,83457.83742,5611
5,2005,20329.80314,26456
5,2006,13660.33895,6073
5,2007,8492.489242,14353
5,2008,14884.67145,10406
5,2009,1465.142073,11464
5,2010,4243.222622,5119
5,2011,5663.833629,9241
15,1952,39,12
15,1953,4659,1364
15,1954,NA,NA
15,1955,NA,NA
15,1956,27,8
15,1957,6975,2230
15,1958,NA,NA
